cd_localidade;nm_localidade;cd_setor;cd_sit;nm_sit;cd_uf;nm_uf;sigla_uf;cd_mun;nm_mun;cd_dist;nm_dist;cd_subdist;nm_subdist;cagece_sistema_de_abastecimento;lat(y);long(x)
"23101000500000100";Palmácia;"231010005000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2310100";Palmácia;"231010005";Palmácia;"23101000500";;SAA PALMACIA;"-4.148982";"-38.845029"
"23102090500000100";Paracuru;"231020905000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2310209";Paracuru;"231020905";Paracuru;"23102090500";;SAA PARACURU;"-3.411635";"-39.029545"
"23102092000000100";Poço Doce;"231020920000001";"2";Área Urbana de Baixa Densidade de Edificações;"23";Ceará;CE;"2310209";Paracuru;"231020920";Poço Doce;"23102092000";;SAA POÇO DOCE;"-3.438558";"-39.11832"
"23102582000000100";Lagoinha;"231025820000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2310258";Paraipaba;"231025820";Lagoinha;"23102582000";;SAA LAGOINHA;"-3.347096";"-39.137858"
"23102580500000100";Paraipaba;"231025805000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2310258";Paraipaba;"231025805";Paraipaba;"23102580500";;SAA PARAIPABA;"-3.436197";"-39.148116"
"23103080500000100";Parambu;"231030805000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2310308";Parambu;"231030805";Parambu;"23103080500";;SI PARAMBU;"-6.210336";"-40.694207"
"23104070500000100";Paramoti;"231040705000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2310407";Paramoti;"231040705";Paramoti;"23104070500";;;"-4.097432";"-39.239466"
"23106050500000100";Penaforte;"231060505000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2310605";Penaforte;"231060505";Penaforte;"23106050500";;PENAFORTE (POÇOS);"-7.829915";"-39.074128"
"23107040500000100";Pentecoste;"231070405000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2310704";Pentecoste;"231070405";Pentecoste;"23107040500";;SAA PENTECOSTE;"-3.796267";"-39.267009"
"23107042000000100";Sebastião de Abreu;"231070420000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2310704";Pentecoste;"231070420";Sebastião de Abreu;"23107042000";;SAA SEBASTIÃO DE ABREU;"-3.858286";"-39.339062"
"23108031000000700";Crioulos;"231080310000007";"2";Área Urbana de Baixa Densidade de Edificações;"23";Ceará;CE;"2310803";Pereiro;"231080310";Crioulos;"23108031000";;CRIOULOS;"-6.20079";"-38.536172"
"23109020500000100";Piquet Carneiro;"231090205000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2310902";Piquet Carneiro;"231090205";Piquet Carneiro;"23109020500";;PIQUET CARNEIRO;"-5.80857";"-39.419406"
"23109512000000100";Otavilândia;"231095120000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2310951";Pires Ferreira;"231095120";Otavilândia;"23109512000";;SIAA MARRUÁS/P.FERR/STO.IZIDRO/OTAV;"-4.256974";"-40.542509"
"23109510500000100";Pires Ferreira;"231095105000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2310951";Pires Ferreira;"231095105";Pires Ferreira;"23109510500";;SIAA MARRUÁS/P.FERR/STO.IZIDRO/OTAV;"-4.242154";"-40.646541"
"23109511000000500";Marruás dos Rosas;"231095110000005";"5";Povoado;"23";Ceará;CE;"2310951";Pires Ferreira;"231095110";Santo Izidro;"23109511000";;SIAA MARRUÁS/P.FERR/STO.IZIDRO/OTAV;"-4.304675";"-40.544851"
"23109511000000100";Santo Izidro;"231095110000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2310951";Pires Ferreira;"231095110";Santo Izidro;"23109511000";;SIAA MARRUÁS/P.FERR/STO.IZIDRO/OTAV;"-4.270545";"-40.564553"
"23110090500000100";Poranga;"231100905000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2311009";Poranga;"231100905";Poranga;"23110090500";;PORANGA;"-4.743951";"-40.92638"
"23111080500000100";Porteiras;"231110805000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2311108";Porteiras;"231110805";Porteiras;"23111080500";;PORTEIRAS (POÇOS);"-7.535746";"-39.115331"
"23112070500003300";Potengi;"231120705000033";"2";Área Urbana de Baixa Densidade de Edificações;"23";Ceará;CE;"2311207";Potengi;"231120705";Potengi;"23112070500";;POTENGI;"-7.090179";"-40.032133"
"23112310500000100";Potiretama;"231123105000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2311231";Potiretama;"231123105";Potiretama;"23112310500";;;"-5.721668";"-38.157918"
"23112640500000100";Quiterianópolis;"231126405000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2311264";Quiterianópolis;"231126405";Quiterianópolis;"23112640500";;QUITERIANÓPOLIS;"-5.847009";"-40.704489"
"23113065000000100";Juatama;"231130650000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2311306";Quixadá;"231130650";Juatama;"23113065000";;JUATAMA;"-5.086229";"-39.042491"
"23113060500000100";Quixadá;"231130605000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2311306";Quixadá;"231130605";Quixadá;"23113060500";;QUIXADA;"-4.9637";"-39.011745"
"23113066500000100";Tapuiará;"231130665000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2311306";Quixadá;"231130665";Tapuiará;"23113066500";;TAPUIARÁ;"-5.075416";"-38.913015"
"23116031500000100";Antônio Diogo;"231160315000001";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2311603";Redenção;"231160315";Antônio Diogo;"23116031500";;SISTEMA INTEGRADO DE REDENÇÃO;"-4.311212";"-38.744279"
"23116030500000800";Itapaí;"231160305000008";"5";Povoado;"23";Ceará;CE;"2311603";Redenção;"231160305";Redenção;"23116030500";;SISTEMA INTEGRADO DE REDENÇÃO;"-4.27464";"-38.729296"
